engagement_id,employee_id,employee_level,department,region,engagement_score,leadership_score,workload_score,comment_text,survey_date,insert_ts
e73ae64d-5c20-42c8-9ac8-89789178fe33,E22324,Senior Associate,Advisory,APAC,2,5,3,Leadership communication can improve,2024-05-16,2025-12-19 08:13:39.332015
b5d0c918-e153-4b63-867f-257b916f9da2,E42937,Manager,Tax,EMEA,1,5,1,Leadership communication can improve,2024-05-31,2025-12-19 08:13:39.332045
88b302d4-d912-4f7a-a61f-acbbaf41d569,E36224,Senior Associate,Advisory,APAC,5,2,3,Leadership communication can improve,2024-10-10,2025-12-19 08:13:39.332055
137ea8dc-328f-4d73-b093-22a61594777c,E46602,Senior Associate,Tax,Americas,4,5,5,Leadership communication can improve,2024-08-01,2025-12-19 08:13:39.332067
4f185c5a-5a9f-40ec-8532-823bffc27c4d,E81529,Associate,Tax,APAC,1,4,5,Enjoy working with my team,2024-01-17,2025-12-19 08:13:39.332078
3276ef28-67e2-4e21-a92a-0648c1cb6486,E59924,Senior Associate,Audit,EMEA,5,4,2,Enjoy working with my team,2024-03-22,2025-12-19 08:13:39.332087
867b5600-81b5-4496-9bb5-c1877822f9cd,E31395,Senior Associate,Audit,EMEA,5,2,1,High workload but supportive team,2024-04-26,2025-12-19 08:13:39.332096
12f8ac64-f6aa-468e-9e1e-4b1746646454,E54624,Senior Associate,Advisory,APAC,5,2,5,Burnout risk,2024-12-21,2025-12-19 08:13:39.332109
7f26e883-1eff-4a40-8dbb-90ce68fb80f7,E55139,Manager,Tax,EMEA,5,1,2,High workload but supportive team,2024-06-10,2025-12-19 08:13:39.332119
045bcdc6-8cb5-4d1c-885f-945396145053,E12326,Associate,Advisory,EMEA,1,1,4,High workload but supportive team,2024-07-31,2025-12-19 08:13:39.332130
fa33308f-86b8-4b95-a75a-4035c2d427a2,E48823,Manager,Audit,APAC,4,5,3,Leadership communication can improve,2024-04-10,2025-12-19 08:13:39.332139
c46d6fda-ee5b-45a6-ace8-8c6e9a134ca5,E39256,Manager,Tax,APAC,3,1,3,High workload but supportive team,2024-09-28,2025-12-19 08:13:39.332147
014a75cb-86e1-4ede-b8be-c6fc943a3ba3,E19597,Associate,Tax,APAC,2,2,1,Burnout risk,2024-03-17,2025-12-19 08:13:39.332155
4ebe78ee-2f08-460b-a489-085cce1303cd,E96898,Director,Advisory,Americas,1,4,4,Enjoy working with my team,2023-09-21,2025-12-19 08:13:39.332164
46e4d82d-0d27-4d8b-9239-d4c08c8193a2,E71694,Director,Tax,Americas,2,1,1,Good work culture,2024-11-08,2025-12-19 08:13:39.332172
c8cee0ee-35a0-4e45-b7ee-fcd226c37c55,E18063,Manager,Audit,Americas,2,5,3,High workload but supportive team,2024-04-24,2025-12-19 08:13:39.332180
b3ae1a9d-71fd-4dad-894b-0e9f0ec116ea,E83113,Senior Associate,Advisory,APAC,1,5,4,Enjoy working with my team,2024-12-29,2025-12-19 08:13:39.332188
ab2159be-a9f3-4aeb-998d-f8b9184b6f26,E72348,Manager,Tax,APAC,2,3,2,High workload but supportive team,2023-11-29,2025-12-19 08:13:39.332196
26b5f0bd-f426-4d55-a428-7a3a0a2e52d1,E37753,Senior Associate,Tax,APAC,2,3,2,Leadership communication can improve,2024-05-19,2025-12-19 08:13:39.332204
887e4e34-84c8-4121-88bf-39b90096dd0a,E72507,Director,Audit,EMEA,4,3,3,Enjoy working with my team,2024-11-21,2025-12-19 08:13:39.332213
ca443cc0-931f-4582-a168-6a8da9f61d82,E54443,Associate,Audit,APAC,5,5,3,High workload but supportive team,2023-04-06,2025-12-19 08:13:39.332221
6215b36a-8ab2-4f7e-ae38-a8cd59176183,E23081,Manager,Tax,EMEA,4,1,2,Enjoy working with my team,2023-07-14,2025-12-19 08:13:39.332230
3d63c84c-6c66-49ac-900d-6feabee7ef02,E79631,Senior Associate,Tax,EMEA,5,4,5,Burnout risk,2023-11-01,2025-12-19 08:13:39.332238
180a9b76-2fe1-4c67-9b4a-6d9f1859a0e0,E33114,Associate,Tax,Americas,3,4,3,Burnout risk,2024-07-27,2025-12-19 08:13:39.332246
7fefbf55-309a-4499-a255-c0aa629d49e2,E42320,Manager,Tax,Americas,5,3,4,Enjoy working with my team,2023-02-27,2025-12-19 08:13:39.332254
a0ff18f7-cdc2-4ccf-bbc8-70a5620cc885,E60242,Senior Associate,Tax,Americas,2,5,3,High workload but supportive team,2023-05-14,2025-12-19 08:13:39.332262
b85ce592-30ea-4bcc-a6d0-6ada6176a460,E94569,Associate,Audit,EMEA,3,4,1,Enjoy working with my team,2024-12-30,2025-12-19 08:13:39.332272
7a0fe841-e0ee-4b5a-9d59-a0105c6e2afc,E97184,Director,Tax,EMEA,4,4,4,Burnout risk,2024-11-11,2025-12-19 08:13:39.332281
2cbfd04a-adc1-4f83-af83-755659251d24,E18945,Director,Audit,Americas,4,1,2,Burnout risk,2023-11-30,2025-12-19 08:13:39.332290
a13625be-8bb4-413a-9e41-d124e8017b9d,E91054,Manager,Tax,EMEA,5,2,1,Good work culture,2024-12-30,2025-12-19 08:13:39.332299
630f13e4-3a9d-4af3-97a3-f3125545d43c,E83436,Manager,Tax,EMEA,2,2,3,Good work culture,2023-03-31,2025-12-19 08:13:39.332307
e1900b97-e0a7-4364-9f47-6ff1cc5bcdbd,E91103,Manager,Advisory,APAC,4,4,5,Enjoy working with my team,2023-05-21,2025-12-19 08:13:39.332360
25a4dd3a-d04f-404a-9cc5-2874587d6fca,E62563,Senior Associate,Tax,Americas,4,3,3,Burnout risk,2024-09-29,2025-12-19 08:13:39.332369
188e7d17-dbf9-4fdc-8d1c-842cf453c66e,E74679,Director,Tax,APAC,4,5,2,High workload but supportive team,2023-01-21,2025-12-19 08:13:39.332377
c79b6a95-0e49-4aaa-86ef-f13a69700062,E15766,Associate,Audit,APAC,1,3,2,Burnout risk,2024-02-22,2025-12-19 08:13:39.332386
d62efa41-10e5-43dc-a90f-f61daea42038,E97530,Director,Tax,APAC,4,2,3,Good work culture,2023-11-26,2025-12-19 08:13:39.332394
1027af42-434f-40c0-8ad8-6c97292b3ad7,E74021,Manager,Tax,EMEA,1,3,5,Good work culture,2024-08-01,2025-12-19 08:13:39.332402
1549036d-0a78-42b7-80ac-0a98ecbde5b2,E62106,Director,Audit,Americas,1,5,1,Good work culture,2024-12-31,2025-12-19 08:13:39.332410
2d4eaad8-879b-4c87-b087-23cddf291950,E44756,Manager,Tax,Americas,4,2,3,High workload but supportive team,2024-11-05,2025-12-19 08:13:39.332418
311e7eeb-9589-4f07-b000-3c9c62970303,E32871,Director,Tax,Americas,3,5,4,Enjoy working with my team,2023-12-24,2025-12-19 08:13:39.332427
29a5b176-47d5-4943-b47a-56c9843591a4,E96406,Senior Associate,Tax,EMEA,5,2,1,Leadership communication can improve,2023-04-28,2025-12-19 08:13:39.332435
89e8c61f-7572-41a2-b6b6-42634903483f,E69852,Associate,Tax,EMEA,2,3,1,High workload but supportive team,2024-10-30,2025-12-19 08:13:39.332443
15285d8e-5253-4e1d-bfcb-02c8abc25b9c,E38461,Manager,Audit,APAC,3,2,4,Enjoy working with my team,2024-01-18,2025-12-19 08:13:39.332451
1b71776f-07fa-4029-9441-136f6238f2ec,E98540,Director,Tax,EMEA,4,4,2,Leadership communication can improve,2023-05-14,2025-12-19 08:13:39.332459
1f9506b5-92b4-4f95-89f0-c25c27a68e64,E60856,Manager,Tax,EMEA,3,1,2,Good work culture,2023-01-10,2025-12-19 08:13:39.332468
b17fcaa0-2689-4340-8d7c-f2491443dff5,E49263,Director,Tax,APAC,3,1,4,Enjoy working with my team,2023-03-18,2025-12-19 08:13:39.332476
09b1a8ae-ebba-4840-9855-6866e5821ece,E92516,Senior Associate,Tax,APAC,4,1,5,Burnout risk,2023-02-06,2025-12-19 08:13:39.332485
c3690899-6880-46da-93d5-ec8a46ae2a3a,E73094,Manager,Advisory,EMEA,4,5,4,Leadership communication can improve,2024-04-30,2025-12-19 08:13:39.332493
b0096797-12a4-4c73-ba3a-9c63b7c1ae49,E29865,Associate,Advisory,APAC,2,3,2,Leadership communication can improve,2024-02-04,2025-12-19 08:13:39.332502
c903735f-8fdd-4d89-a4eb-b9ea04b20dbd,E65469,Senior Associate,Tax,APAC,2,2,3,High workload but supportive team,2024-02-01,2025-12-19 08:13:39.332510
d0f5ed79-7830-42b2-bc7e-efec7c552179,E85080,Manager,Tax,APAC,3,3,5,Enjoy working with my team,2024-01-24,2025-12-19 08:13:39.332518
8fa6a681-4c9f-44c7-bfcb-213a19083709,E74175,Senior Associate,Advisory,Americas,1,4,5,Good work culture,2023-02-26,2025-12-19 08:13:39.332526
9c395f9e-3ab4-4212-9996-b235a6c5ccd0,E96663,Director,Audit,Americas,2,5,3,Enjoy working with my team,2024-01-31,2025-12-19 08:13:39.332535
3112ca73-12ed-4554-827f-ad1ba8b66563,E45131,Director,Tax,Americas,1,2,4,Good work culture,2023-09-24,2025-12-19 08:13:39.332544
47ee96d2-213e-4f5d-92b4-661d8c3f92f0,E89874,Senior Associate,Tax,EMEA,2,1,5,Enjoy working with my team,2023-06-30,2025-12-19 08:13:39.332552
