pdr_id,pursuit_id,account_id,pursuit_value_usd,outcome,overall_rating,planning_rating,execution_rating,lessons_learned,review_date,insert_ts
79486c54-fc4f-48f9-a8f9-b0711cc33149,P5758,A2979,4678661,Won,5,1,1,Strong technical proposal,2023-09-14,2025-12-19 08:13:39.632390
cdac5082-8257-450d-9090-62fdfa3bf035,P7425,A2683,301124,Won,3,1,1,Strong technical proposal,2023-05-24,2025-12-19 08:13:39.632419
91d5b806-a8b1-4d45-9568-89e39b8f0b33,P7685,A2989,541911,Won,1,1,4,Strong technical proposal,2024-02-03,2025-12-19 08:13:39.632430
656e8199-b55b-47ec-95c6-f5c5908ce797,P7065,A2429,885882,Lost,2,1,2,Strong technical proposal,2024-07-07,2025-12-19 08:13:39.632439
76fe97bb-68bb-460c-9de3-617eb8dc77b2,P5260,A2224,2455929,Lost,4,4,2,Late stakeholder involvement,2024-06-25,2025-12-19 08:13:39.632448
931c844f-5e20-4991-96da-294775e266b0,P5679,A1135,878552,Won,3,1,3,Strong technical proposal,2024-12-17,2025-12-19 08:13:39.632458
fe89aaaa-eb5e-48b3-b227-4327fc60f0cf,P5636,A1924,2609942,Won,4,3,4,Client expectations unclear,2023-12-28,2025-12-19 08:13:39.632467
92e5033b-eb9a-45d3-b56e-f9ce5039ea9d,P5694,A1171,2449631,Won,1,5,1,Better risk assessment needed,2023-11-08,2025-12-19 08:13:39.632481
b6a64f26-416a-40ea-97fd-e324c6d87df5,P9602,A2867,3022797,Won,5,2,1,Client expectations unclear,2024-10-22,2025-12-19 08:13:39.632491
041ec533-c199-4503-94df-19999088f172,P9585,A2187,2696120,Lost,4,1,4,Better risk assessment needed,2024-12-13,2025-12-19 08:13:39.632501
4148f69a-48d1-4da0-b510-0451dbd9d805,P7495,A1485,3502945,Lost,3,2,2,Client expectations unclear,2023-06-02,2025-12-19 08:13:39.632510
c9454534-0211-4c82-951c-696b3f8b9dd4,P8635,A2938,1970935,Won,4,5,1,Better risk assessment needed,2023-01-12,2025-12-19 08:13:39.632518
0dae7021-20e9-444d-8493-5c583107a4a8,P6490,A1701,423998,Won,2,4,4,Strong technical proposal,2023-05-25,2025-12-19 08:13:39.632527
85bd74de-565d-419a-8df8-900d891495f8,P9422,A2332,1475757,Lost,3,5,1,Client expectations unclear,2024-11-05,2025-12-19 08:13:39.632537
fb0b6931-5c80-4ad9-8420-39b6fd89e0ef,P5970,A1316,1289774,Lost,2,1,3,Better risk assessment needed,2024-12-18,2025-12-19 08:13:39.632545
b8208471-70c0-43c2-9e5f-bdfad4cf641b,P8129,A2037,2674146,Lost,3,3,1,Client expectations unclear,2023-05-14,2025-12-19 08:13:39.632553
522ff1d6-4c23-4364-8738-6882701557bb,P6424,A2486,528920,Lost,1,1,5,Strong technical proposal,2023-06-01,2025-12-19 08:13:39.632562
a01ea538-40b0-4765-aa80-01c06b481cfb,P7886,A1778,3048871,Won,5,3,5,Better risk assessment needed,2024-12-22,2025-12-19 08:13:39.632571
0fbd2fef-e6bc-44be-a73a-ea54a0636f28,P5947,A2729,3011515,Won,4,1,5,Client expectations unclear,2024-08-20,2025-12-19 08:13:39.632581
fd69da75-d8df-4ead-992b-42889cf17d2c,P6270,A2545,1498925,Won,3,2,4,Strong technical proposal,2024-06-15,2025-12-19 08:13:39.632590
09dd9b10-e42d-4cb2-909c-13d65a6c6b46,P7261,A2417,3919440,Lost,3,1,4,Client expectations unclear,2023-03-23,2025-12-19 08:13:39.632598
1ac3be99-706b-4f72-a806-6a5352a551e9,P7221,A1199,551914,Lost,5,2,3,Late stakeholder involvement,2023-04-11,2025-12-19 08:13:39.632607
c9279bb5-e3e6-4a78-b3bb-fbece3953be2,P9534,A2041,2656053,Lost,2,3,2,Strong technical proposal,2024-11-30,2025-12-19 08:13:39.632616
1a360e09-167a-455c-8bd8-6731712fdcdb,P7583,A2628,1257531,Lost,2,4,5,Pricing strategy worked well,2023-03-24,2025-12-19 08:13:39.632624
30883739-205f-4cb5-83d6-5a690e86ab8a,P9000,A2847,511808,Won,5,4,5,Late stakeholder involvement,2023-01-09,2025-12-19 08:13:39.632633
870e9fc3-80e9-4c34-b2f8-33922df7ae77,P5313,A2633,2338730,Won,5,3,2,Client expectations unclear,2023-04-28,2025-12-19 08:13:39.632641
90bf4ee4-7810-4f92-a56e-4082ba6d9c6b,P8900,A1727,3930423,Lost,1,3,4,Better risk assessment needed,2024-01-14,2025-12-19 08:13:39.632650
110fe992-d0ae-401a-b761-72dc96dc5e5e,P7267,A1780,164343,Lost,4,5,2,Client expectations unclear,2023-04-18,2025-12-19 08:13:39.632660
ed8d4b57-9772-4ed1-b445-cc9b53819314,P7386,A2584,3125449,Lost,4,1,1,Pricing strategy worked well,2023-06-05,2025-12-19 08:13:39.632669
021dea42-dad3-4ad9-8b0e-60af8b2a98f4,P6526,A1726,760802,Lost,3,4,3,Better risk assessment needed,2023-11-01,2025-12-19 08:13:39.632678
33e2f5fa-21f8-418c-8295-83bb6c59f59a,P5711,A1461,1455691,Lost,5,4,1,Late stakeholder involvement,2024-11-04,2025-12-19 08:13:39.632687
3d011503-f4b7-494e-9395-d4ba67c9bcc8,P6923,A1353,4567304,Lost,5,4,3,Client expectations unclear,2024-05-13,2025-12-19 08:13:39.632696
5207c6c5-f410-4ad1-b507-674138054e41,P5548,A2328,2799457,Lost,1,1,4,Client expectations unclear,2024-09-11,2025-12-19 08:13:39.632705
bd414d97-3028-4c7f-8395-0df4b2f0bf13,P7408,A1450,3344353,Lost,3,1,1,Client expectations unclear,2024-11-11,2025-12-19 08:13:39.632714
3ba5459a-5f13-4641-acff-e932ca969330,P6027,A1965,2613133,Lost,2,1,5,Better risk assessment needed,2024-05-09,2025-12-19 08:13:39.632722
04904e28-d3a8-4cb1-966d-cbabf6b7c8ab,P7357,A1048,3403385,Won,1,3,2,Late stakeholder involvement,2023-09-08,2025-12-19 08:13:39.632732
220aea86-7494-4652-be73-8a3062d8d50d,P9434,A1176,4592233,Lost,3,4,5,Strong technical proposal,2023-11-14,2025-12-19 08:13:39.632741
d05e203a-f404-41a9-8bd3-fdfb92cc069f,P8039,A1920,878211,Lost,3,2,4,Pricing strategy worked well,2023-10-06,2025-12-19 08:13:39.632750
93d719da-f988-4596-9e8d-91226c39e373,P6287,A2982,1577811,Won,4,5,5,Client expectations unclear,2024-05-17,2025-12-19 08:13:39.632759
64921ef3-15cc-4981-b24f-475dac8ce67f,P6818,A1068,3920182,Won,2,1,4,Pricing strategy worked well,2024-01-01,2025-12-19 08:13:39.632767
73611b6d-8bef-4a07-81bf-a81dedd1db04,P6638,A1517,1509241,Won,2,4,2,Strong technical proposal,2024-10-09,2025-12-19 08:13:39.632776
ac01129d-b19b-4c86-9b5a-02995d9ae8bf,P8102,A2672,401806,Lost,1,5,3,Pricing strategy worked well,2024-08-25,2025-12-19 08:13:39.632796
9eae6b04-dfd3-42b1-82f8-98acc8dbd6ce,P7437,A2308,723938,Won,1,1,2,Pricing strategy worked well,2023-11-19,2025-12-19 08:13:39.632806
95ad5e89-7d46-414d-9063-6fe0fad385bc,P7635,A1426,4690172,Won,1,4,1,Strong technical proposal,2023-09-04,2025-12-19 08:13:39.632815
1a998f57-755b-42d7-b013-328e7d4e7265,P9653,A2702,391070,Won,1,2,2,Client expectations unclear,2024-03-26,2025-12-19 08:13:39.632825
9271bade-b317-480d-a451-9226a727aee8,P8923,A2236,3486230,Lost,3,2,5,Pricing strategy worked well,2023-06-28,2025-12-19 08:13:39.632835
53d119bd-1620-4d9d-ac0d-5625f05495ff,P5048,A2479,4971798,Won,2,4,1,Late stakeholder involvement,2023-02-18,2025-12-19 08:13:39.632846
7534356e-44b5-44b1-bd41-43e8bc809b4a,P6793,A1746,2416362,Won,4,1,5,Better risk assessment needed,2024-08-30,2025-12-19 08:13:39.632860
b6aae90e-504a-42d5-b8a1-82af257c74f6,P6920,A1249,3382129,Lost,1,4,4,Pricing strategy worked well,2023-03-18,2025-12-19 08:13:39.632874
26370f6c-4b79-4123-aaf2-203cc6879040,P7614,A2389,385434,Won,3,2,5,Strong technical proposal,2024-12-27,2025-12-19 08:13:39.632897
a8e9290a-df54-40eb-b2be-14ab40ba94fe,P6485,A2063,3569483,Won,3,1,2,Client expectations unclear,2024-12-06,2025-12-19 08:13:39.632915
864c87e6-6120-40f2-b8a0-f616da5a04b3,P8967,A1051,2600630,Won,5,1,4,Better risk assessment needed,2024-07-21,2025-12-19 08:13:39.632924
fd789617-94f8-408d-b447-5a770e3632da,P6536,A1079,1629352,Won,2,1,1,Pricing strategy worked well,2024-10-01,2025-12-19 08:13:39.632933
36443310-47b0-449a-8c99-3fdcda928f62,P6683,A2043,4003902,Won,2,5,3,Late stakeholder involvement,2023-11-19,2025-12-19 08:13:39.632942
ab7d32b9-e040-4217-8078-ae62ad3a0cb0,P8199,A1415,3112886,Lost,2,5,2,Pricing strategy worked well,2023-07-07,2025-12-19 08:13:39.632950
15c1f416-0d3d-4f8c-9b81-064e4faefd12,P6557,A2842,3596349,Won,5,4,3,Late stakeholder involvement,2024-08-21,2025-12-19 08:13:39.632959
51e8297e-1b4a-4720-a912-23df7a5ea316,P9234,A2118,3392878,Lost,4,1,3,Better risk assessment needed,2023-09-18,2025-12-19 08:13:39.632967
c2e0d13e-86e7-4076-be02-a4e17b182996,P9957,A1896,2400191,Lost,5,2,2,Late stakeholder involvement,2024-02-11,2025-12-19 08:13:39.632976
fb4a5ba4-2d86-4ae7-a460-1761595857aa,P5198,A1187,4223375,Lost,2,3,2,Client expectations unclear,2024-05-21,2025-12-19 08:13:39.632985
c6f0fd62-3a40-4ea8-8e95-126d6730b0ac,P9400,A2827,176094,Lost,5,5,1,Late stakeholder involvement,2024-12-03,2025-12-19 08:13:39.632994
4f793f5b-a4ad-43ff-8fd9-fd6345a517c3,P6176,A2218,1803184,Won,2,2,5,Late stakeholder involvement,2024-07-25,2025-12-19 08:13:39.633002
9055c095-cc4b-409f-b622-54d310bb9440,P6742,A1644,805892,Won,1,3,2,Strong technical proposal,2024-03-07,2025-12-19 08:13:39.633011
613f6503-dafe-4d0a-b611-c6503366a7d8,P6994,A1618,2582620,Won,1,2,1,Late stakeholder involvement,2024-12-22,2025-12-19 08:13:39.633019
a20931f6-57e7-4dad-8b1b-c1bb79ee3133,P9792,A1054,4973258,Won,4,5,2,Better risk assessment needed,2024-11-14,2025-12-19 08:13:39.633028
eac87866-3731-4d46-92cc-5c993d0ad3b7,P8196,A2152,297690,Lost,5,2,5,Late stakeholder involvement,2023-01-21,2025-12-19 08:13:39.633037
6036dd44-4bba-4b98-a6ba-4cf67a07270b,P5137,A2782,4085352,Lost,2,3,5,Better risk assessment needed,2024-02-22,2025-12-19 08:13:39.633046
9455feff-57f4-4cd1-afb2-31f8fb6ac06f,P6468,A2845,957196,Lost,5,2,4,Pricing strategy worked well,2024-12-10,2025-12-19 08:13:39.633055
a33481f7-a50f-43e0-b9b9-1a5a3b8cda84,P7323,A1335,3044895,Won,5,3,5,Late stakeholder involvement,2024-12-05,2025-12-19 08:13:39.633063
096edf35-5db8-4416-984c-e227f7a0ad8b,P9041,A1692,3258644,Won,4,2,2,Client expectations unclear,2023-03-29,2025-12-19 08:13:39.633072
2e23b3e5-9fb6-40c8-ac60-36316a5eda74,P9879,A2431,2139423,Won,2,5,2,Strong technical proposal,2024-01-25,2025-12-19 08:13:39.633081
eedb70a1-4512-4fa6-8838-a504e332abf6,P8155,A1057,1663353,Lost,2,2,5,Client expectations unclear,2023-03-02,2025-12-19 08:13:39.633090
65ac8fa6-7e28-468b-a1fc-64390694cf16,P5936,A1650,2989425,Won,4,4,3,Client expectations unclear,2023-01-20,2025-12-19 08:13:39.633099
ae81bea2-6130-4a48-9b03-762d4823dfbb,P5978,A2471,4472748,Lost,1,2,2,Pricing strategy worked well,2023-11-09,2025-12-19 08:13:39.633107
2579e69e-b258-4f57-852c-c6f62088fa3a,P7520,A2967,3417198,Lost,3,3,5,Better risk assessment needed,2024-06-27,2025-12-19 08:13:39.633116
4d209797-b67b-44fc-9ca3-81beedd03b4b,P8223,A2215,330930,Lost,3,2,2,Late stakeholder involvement,2023-06-14,2025-12-19 08:13:39.633124
7df863e8-4235-42db-aadc-32d0d45cc3e2,P5466,A1621,2116099,Won,3,1,2,Pricing strategy worked well,2023-10-12,2025-12-19 08:13:39.633133
c603fb8b-03da-4d2d-964e-c0ab75a86477,P7979,A1684,3578615,Lost,3,3,3,Late stakeholder involvement,2024-11-17,2025-12-19 08:13:39.633141
9ac85ca9-0831-48e6-ae9f-227f0384f7d0,P8755,A1306,459063,Won,5,1,3,Pricing strategy worked well,2024-11-11,2025-12-19 08:13:39.633150
e940e880-ac33-44e0-a3be-5d28874fd4d8,P9222,A1090,2234684,Lost,5,5,3,Strong technical proposal,2023-06-06,2025-12-19 08:13:39.633158
62c50e8d-c286-4fea-ac01-49089c914135,P9109,A1687,1579259,Won,1,3,5,Better risk assessment needed,2024-09-14,2025-12-19 08:13:39.633167
83009da0-4dfe-4049-b443-cde5462ce0b1,P9265,A1396,1163664,Won,3,2,5,Strong technical proposal,2024-08-30,2025-12-19 08:13:39.633175
dc17d4e2-da93-4088-8851-2c802e845259,P8609,A1430,4552547,Lost,4,4,1,Late stakeholder involvement,2023-02-01,2025-12-19 08:13:39.633184
c8c1c358-64fc-4286-958e-ebbdcd59a900,P5621,A2754,316049,Lost,5,3,3,Pricing strategy worked well,2024-09-22,2025-12-19 08:13:39.633193
5902d83f-465e-4d80-8393-2e7b6b6b4563,P9464,A2711,3013958,Lost,5,5,1,Strong technical proposal,2024-04-27,2025-12-19 08:13:39.633207
93b3ae6b-1ff4-47ca-ab78-653d78122881,P7932,A1830,587617,Lost,4,2,1,Late stakeholder involvement,2024-06-15,2025-12-19 08:13:39.633217
8600005f-31a8-4f88-be3a-3011d51ac7bf,P9966,A1546,94811,Won,4,4,4,Late stakeholder involvement,2023-11-17,2025-12-19 08:13:39.633227
700ea637-bb40-4cf1-b2ba-f15422f02281,P7278,A1462,4445311,Lost,2,5,1,Strong technical proposal,2023-07-25,2025-12-19 08:13:39.633236
902128bc-2814-494a-bb44-c2d7f96c5087,P6659,A1537,1838331,Won,4,3,5,Better risk assessment needed,2023-07-11,2025-12-19 08:13:39.633245
df56fcfe-8854-4101-a7cf-d18844cdd1a5,P8884,A1836,4295887,Won,3,1,5,Better risk assessment needed,2023-12-30,2025-12-19 08:13:39.633253
a3104c9f-ea0b-43ac-8cd2-cdb00e0ffa8d,P5412,A2751,444437,Won,5,5,5,Pricing strategy worked well,2024-05-11,2025-12-19 08:13:39.633263
897f484e-9eae-4a0d-bdac-7527b93a3c31,P8660,A1852,3019875,Won,5,1,4,Client expectations unclear,2024-05-26,2025-12-19 08:13:39.633272
3d41d66d-f03e-450e-8cec-bc9a1b2cbe27,P6977,A1762,4613543,Lost,4,3,2,Better risk assessment needed,2023-02-06,2025-12-19 08:13:39.633281
ac57e7d3-9fe6-4c8e-a2b7-614ba9529027,P7781,A2720,4432600,Lost,5,1,3,Pricing strategy worked well,2023-07-17,2025-12-19 08:13:39.633289
e1ee6dc3-22ea-4675-83da-cf2d2abb1833,P5030,A2163,784253,Won,4,1,2,Better risk assessment needed,2023-09-02,2025-12-19 08:13:39.633303
06332d27-3535-40a8-8638-ca6d5fac77c1,P9037,A2245,370034,Won,1,2,4,Client expectations unclear,2024-03-15,2025-12-19 08:13:39.633313
553448a6-91f2-49db-b098-f74c585ad1e7,P6830,A2607,3916400,Won,3,5,5,Strong technical proposal,2023-09-14,2025-12-19 08:13:39.633321
f974fe79-2231-48c7-bf24-281214cc68b6,P5746,A1531,2063134,Lost,2,3,5,Better risk assessment needed,2023-09-15,2025-12-19 08:13:39.633330
32a27465-a3ed-4cf4-a196-20af701f5939,P9764,A1567,967429,Won,2,5,5,Client expectations unclear,2024-07-12,2025-12-19 08:13:39.633339
c90b51ea-0b74-4e10-b771-a548282254b3,P7734,A2511,315322,Won,4,3,5,Strong technical proposal,2023-02-22,2025-12-19 08:13:39.633350
94a5c77f-565a-4b2d-a9f8-d1e4c705ee7c,P8381,A2441,318196,Lost,4,5,2,Late stakeholder involvement,2023-02-15,2025-12-19 08:13:39.633359
cf92c25e-3ecb-4503-a292-c7357ddac4e1,P6859,A2266,1711579,Lost,5,4,4,Late stakeholder involvement,2023-04-11,2025-12-19 08:13:39.633369
5919ed85-db0a-4dca-8f1a-7c6436a175b8,P6428,A1299,1674834,Lost,2,5,2,Client expectations unclear,2023-02-07,2025-12-19 08:13:39.633380
41c7f267-8a0b-4d94-a311-48cabb147f73,P6713,A2305,513391,Lost,3,1,3,Late stakeholder involvement,2023-02-27,2025-12-19 08:13:39.633389
65f270a5-80e2-4356-969e-a9526f08080d,P6099,A2827,3598307,Lost,1,4,5,Pricing strategy worked well,2023-06-26,2025-12-19 08:13:39.633398
b558b937-d028-438b-b865-df707aeda219,P9283,A1083,3916123,Won,2,1,4,Pricing strategy worked well,2023-11-11,2025-12-19 08:13:39.633407
52a96348-b3c8-48d4-acef-732aab1a240c,P9779,A1079,1092652,Won,4,3,1,Pricing strategy worked well,2023-08-24,2025-12-19 08:13:39.633417
a5b14397-70b6-4f3e-a71b-22cdec733fd8,P9614,A2733,602574,Lost,4,5,2,Strong technical proposal,2023-07-30,2025-12-19 08:13:39.633426
a06dd446-8df0-494e-a385-841e3475cd96,P7284,A2905,3829244,Won,1,2,3,Pricing strategy worked well,2023-07-18,2025-12-19 08:13:39.633435
835be204-c6c1-4bd5-a61d-621e4a1ab7fc,P9832,A1723,1284828,Lost,3,4,5,Pricing strategy worked well,2024-03-08,2025-12-19 08:13:39.633444
5be48b51-7f42-4f82-8e33-28804c1b19b1,P6244,A1009,1348409,Lost,5,5,2,Late stakeholder involvement,2023-04-06,2025-12-19 08:13:39.633453
ab877544-a6f1-47db-9f58-de8a7d47c7a3,P7869,A1986,822587,Lost,1,4,5,Client expectations unclear,2023-11-02,2025-12-19 08:13:39.633463
19f819c2-ccb9-4571-8213-92348fdb7488,P9059,A1246,978487,Won,2,3,1,Late stakeholder involvement,2023-08-23,2025-12-19 08:13:39.633473
5372a755-a189-432c-b6a0-c44a1c193cb1,P7773,A2174,2813067,Lost,2,3,3,Better risk assessment needed,2023-07-17,2025-12-19 08:13:39.633482
03e3daf7-4861-41c9-bdd8-951ed0cddea7,P8739,A1795,1645981,Won,2,1,1,Better risk assessment needed,2024-01-14,2025-12-19 08:13:39.633492
ccf0b1f1-10cd-4e51-8ad1-85357a832ebf,P7868,A1883,441990,Lost,5,5,1,Late stakeholder involvement,2024-02-10,2025-12-19 08:13:39.633502
