survey_id,account_id,account_name,industry,los,relationship_score,trust_score,recommend_score,comment_text,survey_sent_date,survey_completed_date,respondent_role,insert_ts
6bb861e5-a78f-43d4-845b-d1a582775dd6,A2309,Client_58,Banking,Advisory,6,5,3,Good delivery but slow communication,2023-04-15,2024-11-23,Manager,2025-12-19 08:13:39.142442
84f7cd0a-0547-44c6-960f-944b5bb2bcc6,A2827,Client_280,Banking,Advisory,7,4,0,Strong collaboration and trust,2023-08-12,2023-08-27,Manager,2025-12-19 08:13:39.142484
b3c0e219-9200-4374-9f61-91338c965968,A2232,Client_14,Retail,Audit,9,9,8,Needs improvement in turnaround time,2023-08-14,2024-04-04,Manager,2025-12-19 08:13:39.142519
78b43f1f-a7de-492e-b1da-2fbe7b21e7ff,A1569,Client_415,Banking,Audit,9,7,5,Excellent relationship with leadership,2023-06-09,2023-08-09,Director,2025-12-19 08:13:39.142560
8eb20350-ba45-4661-a0be-79e2506eed15,A1209,Client_48,Energy,Audit,6,10,5,Overall satisfied,2023-09-28,2023-02-14,Manager,2025-12-19 08:13:39.142577
36afc337-7eeb-4df9-87cd-94bae32b421b,A1940,Client_275,Banking,Tax,4,8,4,Overall satisfied,2024-01-06,2024-08-14,CXO,2025-12-19 08:13:39.142591
f2f8bb4c-dcaa-4fd8-8665-377a6593fd1b,A2442,Client_36,Banking,Advisory,5,10,4,Strong collaboration and trust,2023-08-27,2023-04-14,Director,2025-12-19 08:13:39.142607
a04ccad2-112d-461e-8e11-b1099bd1c8aa,A1569,Client_233,Pharma,Audit,6,6,3,Excellent relationship with leadership,2024-12-19,2024-11-30,Manager,2025-12-19 08:13:39.142623
e4e20485-f96c-4a7c-98d4-f44e12ff96de,A1146,Client_312,Tech,Advisory,9,5,2,Needs improvement in turnaround time,2024-01-24,2023-10-04,Manager,2025-12-19 08:13:39.142654
b078e129-bd4c-4f0b-a8e3-d55e913b324d,A2409,Client_286,Tech,Advisory,6,10,0,Good delivery but slow communication,2023-02-02,2023-11-20,Director,2025-12-19 08:13:39.142667
f9f2d2bb-f0d5-435f-a8a0-45893f60ba26,A1548,Client_34,Tech,Advisory,9,6,3,Needs improvement in turnaround time,2024-02-10,2024-10-20,Director,2025-12-19 08:13:39.142679
